iso3,year,milex_const_usd,milex_current_usd,milex_gdp_share,gdp_const_usd,ln_milex_const_usd,ln_gdp_const_usd
CMR,2023,414.165259315532,456.128243812134,0.00933338169286478,44374619290.6859,19.841775629230266,24.515933505340364
COD,1949,,,,,,
COD,1950,,,,,,
COD,1951,,,,,,
COD,1952,,,,,,
COD,1953,,,,,,
COD,1954,,,,,,
COD,1955,,,,,,
COD,1956,,,,,,
COD,1957,,,,,,
COD,1958,,,,,,
COD,1959,,,,,,
COD,1960,,,,,,
COD,1961,,,,,,
COD,1962,,,,,,
COD,1963,67.2922655462582,58.2178217821782,,,18.02455586299212,
COD,1964,92.621483947812,49.8181818181818,3.91428571428571e-07,236624229063753.53,18.344031680782418,33.09749446740203
COD,1965,150.819962877963,78.9090909090909,,,18.831597384604034,
COD,1966,129.363587478796,78.3636363636364,4.31e-07,300147534753587.06,18.678137505368653,33.33529525221132
COD,1967,116.396930030503,45.9076486811277,,,18.57251671860541,
COD,1968,120.523337073252,50.4790419161677,4.215e-07,285939115239032.0,18.607353960801323,33.286800020305826
COD,1969,162.93028602242,72.4550898203593,4.17241379310345e-07,390494073938031.3,18.908832974170263,33.59843390951831
COD,1970,213.151775914424,102.395209580838,5.51612903225806e-07,386415500195739.75,19.177515032899752,33.58793433184056
COD,1971,200.330071003001,101.796407185629,4.85714285714286e-07,412444263829707.75,19.115476919187966,33.653122194585436
COD,1972,159.761992491206,94.0119760479042,4.02564102564103e-07,396861000455861.56,18.889195718771767,33.61460721051142
COD,1973,150.470949498622,102.395209580838,3.48979591836735e-07,431174065814764.44,18.829280596933945,33.69753298950023
COD,1974,214.771292581979,189.221556886228,5.26666666666667e-07,407793593510086.5,19.18508426446991,33.641782264063416
COD,1975,153.196771699965,173.652694610778,4.53125e-07,338089427199922.75,18.847233742594202,33.454331553931674
COD,1976,93.4201484651725,120.795356005498,3.35789473684211e-07,278210473485623.03,18.352617602259542,33.25939904203356
COD,1977,79.909400020722,161.471103327496,3.49242424242424e-07,228807826523542.56,18.196404051134774,33.063903581682816
COD,1978,69.7930113703688,214.951895990555,3.27322404371585e-07,213224058109807.66,18.06104443908621,32.9933646447705
